Recipient,Supplier,Year of order, ,Number ordered, ,Weapon designation,Weapon description,Number delivered, ,Year(s) of delivery,status,Comments,SIPRI TIV per unit,SIPRI TIV for total order,SIPRI TIV of delivered weapons
Afghanistan,United States,2017,,4300,?,HMMWV-UA,APV,4300,?,2018; 2019; 2020; 2021,New,Aid; more ordered but cancelled after Taliban took power in Afghanistan mid-2021,0.13,559,559
Afghanistan,United States,2017,,1673,?,HMMWV-UA,APV,1673,?,2018; 2019; 2020; 2021,Second hand,Second-hand; aid,0.05,87,87
Afghanistan,United States,2004,?,188,?,M-113,APC,188,?,2005,Second hand,Second-hand; aid; M-113A2 version; incl 15 M-577A2 command post version,0.1,18.8,18.8
Afghanistan,United States,2014,,222,,MaxxPro,APC,222,,2015,Second hand,Second-hand; incl 20 recovery vehicle version; aid,0.13,28.42,28.42
Afghanistan,United States,2011,,6,,MD-500E,light helicopter,6,,2011,New,$17-20 m aid; MD-530F version; incl for training (but armed 2015),0.7,4.2,4.2
Afghanistan,United States,2014,,12,,MD-500E,light helicopter,12,,2015,New,Armed MD-530F version,0.7,8.4,8.4
Afghanistan,United States,2015,?,12,,MD-500E,light helicopter,12,,2016,New,Armed MD-530F version,0.7,8.4,8.4
Afghanistan,United States,2017,,30,,MD-500E,light helicopter,30,,2018; 2019,New,Armed MD-530F version; Afghan designation Jengi,0.7,21,21
Afghanistan,United States,2019,,12,,MD-500E,light helicopter,12,,2020; 2021,New,Armed MD-530F version; Afghan designation Jengi,0.7,8.4,8.4
Afghanistan,United States,2017,?,250,?,Paveway,guided bomb,250,?,2017; 2018; 2019,New,Paveway-2 version; for Super Tucano (A-29B) trainer/combat aircraft,0.02,5,5
Afghanistan,United States,2016,,53,,S-70 Black Hawk,transport helicopter,53,?,2017; 2018; 2019; 2020,Second hand but modernized,Second-hand UH-60A modernized to UH-60A+ before delivery; aid,4.29,227.37,227.37
Afghanistan,United States,2015,,65,,ScanEagle,UAV,65,?,2016; 2017; 2018,New,$71 m deal,0.04,2.6,2.6
Afghanistan,United States,2017,,5,?,ScanEagle,UAV,5,?,2018,New,$19.6 m deal,0.04,0.2,0.2
Afghanistan,United States,2018,,35,,ScanEagle,UAV,35,?,2019,New,$58 m deal (incl operational support),0.04,1.4,1.4
Afghanistan,Soviet Union,1988,?,40,?,2S9 120mm,self-propelled gun,40,?,1988,Second hand,Second-hand; aid; handed over by Soviet forces withdrawing from Afghanistan,0.3,12,12
Afghanistan,Soviet Union,1986,?,400,?,9M37,SAM,400,?,1987; 1988,New,,0.06,24,24
Afghanistan,Soviet Union,1988,?,13,?,9P113,SSM launcher,13,?,1988,Second hand,Second-hand,0.2,2.6,2.6
Afghanistan,Soviet Union,1988,?,30,?,9P117 Uragan,SSM launcher,30,?,1988; 1989; 1990,New,Possibly second-hand; mainly for use against Mujahideen rebel forces; operated by Soviet crews 1988-1992,1,30,30
Afghanistan,Soviet Union,1977,?,26,,AI-25,turbofan,26,?,1977; 1978,New,For 26 L-39 trainer aircraft from Czechoslovakia; Titan (AI-25TL) version produced in Czechoslovakia,0.6,15.6,15.6
Afghanistan,Soviet Union,1989,?,12,,An-12,transport aircraft,12,,1989,Second hand,Second-hand,9.2,110.4,110.4
Afghanistan,Soviet Union,1956,?,8,?,An-2,light transport aircraft,8,?,1957,New,,1,8,8
Afghanistan,Soviet Union,1976,?,36,?,An-26,transport aircraft,36,?,1977; 1978; 1979; 1980; 1981; 1982,New,Possibly some second-hand,8.5,306,306
Afghanistan,Soviet Union,1987,?,3,,An-26,transport aircraft,3,?,1987,New,,8.5,25.5,25.5
Afghanistan,Soviet Union,1984,?,1,?,An-30,reconnaissance aircraft,1,,1985,Second hand,Second-hand,3,3,3
Afghanistan,Soviet Union,1986,?,73,,An-32,transport aircraft,73,?,1987; 1988; 1989; 1990; 1991,New,An-32A version,11,803,803
Afghanistan,Soviet Union,1960,?,50,?,BM-13 132mm,self-propelled MRL,50,?,1960; 1961,Second hand,Second-hand,0.08,4,4
Afghanistan,Soviet Union,1979,?,142,?,BM-21 Grad 122mm,self-propelled MRL,142,?,1979; 1980; 1981; 1982; 1983; 1984; 1985; 1986; 1987; 1988,New,,0.6,85.2,85.2
Afghanistan,Soviet Union,1979,?,350,?,BMP-1,IFV,350,?,1979; 1980; 1981; 1982; 1983; 1984; 1985; 1986; 1987; 1988; 1989; 1990,New,Possibly incl second-hand,0.9,315,315
Afghanistan,Soviet Union,1987,?,150,?,BMP-2,IFV,150,?,1987; 1988; 1989; 1990; 1991,New,Possibly incl some second-hand,0.9,135,135
Afghanistan,Soviet Union,1970,?,50,?,BRDM-1,reconnaissance AV,50,?,1970; 1971,Second hand,Probably second-hand,0.05,2.4,2.4
Afghanistan,Soviet Union,1979,?,250,?,BRDM-2,reconnaissance AV,250,?,1979; 1980; 1981; 1982; 1983; 1984; 1985; 1986; 1987; 1988,Second hand,Probably second-hand,0.06,15,15
Afghanistan,Soviet Union,1958,?,250,?,BS-3 100mm,towed gun,250,?,1959; 1960; 1961; 1962,Second hand,Second-hand,0.14,35,35
Afghanistan,Soviet Union,1958,,100,?,BTR-152,APC,100,?,1959; 1960,New,,0.13,13,13
Afghanistan,Soviet Union,1958,?,100,?,BTR-40,APC,100,?,1959; 1960,Second hand,Probably second-hand,0.05,4.8,4.8
Afghanistan,Soviet Union,1963,?,100,?,BTR-50,APC,100,?,1965; 1966,New,,0.25,25,25
Afghanistan,Soviet Union,1979,?,560,?,BTR-50,APC,560,?,1979; 1980; 1981; 1982; 1983; 1984; 1985; 1986; 1987; 1988,Second hand,Second-hand,0.1,56,56
Afghanistan,Soviet Union,1978,?,600,?,BTR-60PB,APC,600,?,1979; 1980; 1981; 1982; 1983; 1984; 1985; 1986,Second hand,Probably second-hand,0.1,60,60
Afghanistan,Soviet Union,1988,?,360,?,BTR-70,APC,360,?,1988; 1989; 1990,New,Probably most second-hand; aid; incl handed over by Soviet forces withdrawing from Afghanistan 1990,0.27,97.2,97.2
Afghanistan,Soviet Union,1960,?,200,?,D-1 152mm,towed gun,200,?,1961; 1962; 1963; 1964,Second hand,Second-hand,0.2,40,40
Afghanistan,Soviet Union,1979,?,120,?,D-1 152mm,towed gun,120,?,1979; 1980; 1981; 1982; 1983; 1984; 1985; 1986; 1987; 1988,Second hand,Second-hand,0.2,24,24
Afghanistan,Soviet Union,1978,?,508,?,D-30 122mm,towed gun,508,?,1978; 1979; 1980; 1981; 1982; 1983; 1984; 1985; 1986; 1987; 1988; 1989; 1990; 1991,New,,0.35,177.8,177.8
Afghanistan,Soviet Union,1987,?,1500,?,Fagot,anti-tank missile,1500,?,1989; 1990; 1991,New,For BMP-2 IFV,0.01,15,15
Afghanistan,Soviet Union,1980,?,1000,?,Fleyta/Skorpion ,anti-tank missile,1000,?,1980; 1981; 1982,New,For Mi-24A helicopters,0.02,20,20
Afghanistan,Soviet Union,1960,?,24,?,Il-14,transport aircraft,24,?,1961; 1962,Second hand,Probably second-hand,1.6,38.4,38.4
