Recipient,Supplier,Year of order, ,Number ordered, ,Weapon designation,Weapon description,Number delivered, ,Year(s) of delivery,status,Comments,SIPRI TIV per unit,SIPRI TIV for total order,SIPRI TIV of delivered weapons
Algeria,Soviet Union,1989,?,80,?,2S1 122mm,self-propelled gun,80,?,1990; 1991,New,,0.9,72,72
Algeria,Soviet Union,1989,?,25,?,2S3 152mm,self-propelled gun,25,?,1991,New,,1,25,25
Algeria,Soviet Union,1982,?,600,?,3M9,SAM,600,?,1982; 1983; 1984; 1985; 1986,New,,0.12,72,72
Algeria,Soviet Union,1985,?,40,?,53-65,anti-ship torpedo,40,?,1987; 1988,New,For 2 Project-877 (Kilo or Mubarek) submarines,1.1,44,44
Algeria,Soviet Union,1978,?,40,?,9K31,mobile SAM system,40,?,1979; 1980,New,,1,40,40
Algeria,Soviet Union,1978,?,600,?,9M33,SAM,600,?,1980; 1981,New,,0.1,60,60
Algeria,Soviet Union,1979,?,90,?,9M33,SAM,90,?,1980; 1981; 1982,New,Osa-M (SA-N-4) version; for Nanuchka-2 corvettes,0.1,9,9
Algeria,Soviet Union,1977,?,60,?,9M33,SAM,60,?,1980; 1982,New,Osa-M (SA-N-4) version; for Koni (Mourad Rais) frigates,0.1,6,6
Algeria,Soviet Union,1982,?,30,?,9M33,SAM,30,?,1985,New,Osa-M (SA-N-4) version; for Koni (Mourad Rais) frigate,0.1,3,3
Algeria,Soviet Union,1975,,18,?,9P113,SSM launcher,18,?,1976; 1977,New,No. could be up to 24,0.5,9,9
Algeria,Soviet Union,1961,?,100,?,A-19 122mm,towed gun,100,?,1961; 1962; 1963,Second hand,Second-hand; incl some based in Morocco before independence,0.16,16,16
Algeria,Soviet Union,1987,,32,,AI-25,turbofan,32,?,1987; 1988; 1991,New,For 32 L-39 trainer aircraft from Czechoslovakia; Titan (AI-25TL) version from Czechoslovak production line,0.6,19.2,19.2
Algeria,Soviet Union,1983,?,1,,AK-630 30mm,naval gun,1,,1988,New,For 1 Djebel Chenoua FAC produced in Algeria,1,1,1
Algeria,Soviet Union,1964,?,8,,An-12,transport aircraft,8,?,1964; 1965,New,An-12B version,23,184,184
Algeria,Soviet Union,1962,?,48,?,BM-14 140mm,self-propelled MRL,48,?,1963; 1964,Second hand,Second-hand,0.1,4.8,4.8
Algeria,Soviet Union,1976,?,48,?,BM-21 Grad 122mm,self-propelled MRL,48,?,1977; 1978,New,,0.6,28.8,28.8
Algeria,Soviet Union,1965,?,30,?,BM-24 240mm,self-propelled MRL,30,?,1966; 1967,Second hand,Probably second-hand,0.18,5.4,5.4
Algeria,Soviet Union,1978,?,800,?,BMP-1,IFV,800,?,1979; 1980; 1981; 1982; 1983; 1984,New,,0.9,720,720
Algeria,Soviet Union,1989,?,225,?,BMP-2,IFV,225,?,1990; 1991,New,,0.9,202.5,202.5
Algeria,Soviet Union,1979,?,100,?,BRDM-2,reconnaissance AV,100,?,1981; 1982,New,,0.15,15,15
Algeria,Soviet Union,1980,?,20,?,BRDM-2,tank destroyer,20,?,1981; 1982,New,9P148 version with 9M14 (AT-5) missiles,0.8,16,16
Algeria,Soviet Union,1963,,350,?,BTR-152,APC,350,?,1964; 1965; 1966,Second hand,Second-hand,0.05,18.2,18.2
Algeria,Soviet Union,1965,?,100,?,BTR-40,APC,100,?,1966; 1967,Second hand,Second-hand,0.05,4.8,4.8
Algeria,Soviet Union,1977,?,130,?,BTR-50,APC,130,?,1978; 1979,Second hand,Second-hand,0.1,13,13
Algeria,Soviet Union,1979,?,10,?,BTR-60P,APC,10,?,1979; 1980,New,BTR-60PU-12 command post version for use with 10 SA-9/9K31 SAM systems,0.2,2,2
Algeria,Soviet Union,1977,?,400,?,BTR-60PB,APC,400,?,1978; 1979; 1980; 1981,New,Possibly second-hand,0.25,100,100
Algeria,Soviet Union,1982,?,200,?,D-30 122mm,towed gun,200,?,1982; 1983; 1984; 1985,New,,0.35,70,70
Algeria,Soviet Union,1978,?,30,?,D-74 122mm,towed gun,30,?,1979,Second hand,Probably second-hand,0.16,4.8,4.8
Algeria,Soviet Union,1980,?,200,?,Fagot,anti-tank missile,200,?,1981; 1982,New,,0.01,2,2
Algeria,Soviet Union,1989,?,2250,?,Fagot,anti-tank missile,2250,?,1990; 1991,New,For BMP-2 IFV,0.01,22.5,22.5
Algeria,Soviet Union,1969,?,3,?,Luna/FROG,SSM launcher,3,?,1970,Second hand,Second-hand,0.16,0.48,0.48
Algeria,Soviet Union,1962,?,6,,Il-14,transport aircraft,6,,1962,Second hand,Probably second-hand,1.6,9.6,9.6
Algeria,Soviet Union,1965,?,8,,Il-14,transport aircraft,8,,1965,Second hand,Probably second-hand,1.6,12.8,12.8
Algeria,Soviet Union,1968,?,4,,Il-18,transport aircraft,4,,1969,New,,19,76,76
Algeria,Soviet Union,1965,,12,?,Il-28,bomber aircraft,12,?,1965; 1966,Second hand,Second-hand,2.88,34.56,34.56
Algeria,Soviet Union,1964,?,12,,Il-28,bomber aircraft,12,,1964,Second hand,Second-hand,2.88,34.56,34.56
Algeria,Soviet Union,1988,?,9,?,Il-76M,heavy transport aircraft,9,?,1989; 1990; 1991,New,,85,765,765
Algeria,Soviet Union,1965,?,20,?,ISU-122 122mm,self-propelled gun,20,?,1966,Second hand,Second-hand,0.26,5.2,5.2
Algeria,Soviet Union,1965,?,6,?,ISU-152 152mm,self-propelled gun,6,?,1966,Second hand,Second-hand,0.26,1.56,1.56
Algeria,Soviet Union,1965,?,250,?,K-13A,SRAAM,250,?,1965; 1966; 1967,New,For MiG-21 combat aircraft,0.04,10,10
Algeria,Soviet Union,1971,?,200,?,K-13A,SRAAM,200,?,1972; 1973,New,For Su-7 combat aircraft,0.04,8,8
Algeria,Soviet Union,1976,?,1500,?,K-13M,SRAAM,1500,?,1977; 1978; 1979; 1980; 1981; 1982; 1983; 1984; 1985; 1986,New,For MiG-21; MiG-23 and Su-20 combat aircraft,0.07,105,105
Algeria,Soviet Union,1980,?,400,?,Konkurs,anti-tank missile,400,?,1981; 1982,New,For BRDM-2 tank destroyers,0.02,8,8
Algeria,Soviet Union,1982,?,10,,Kvadrat,SAM system,10,?,1982; 1983; 1984; 1985; 1986,New,,17.5,175,175
Algeria,Soviet Union,1965,?,60,?,M-30 122mm,towed gun,60,?,1966; 1967; 1968; 1969,Second hand,Second-hand,0.18,10.8,10.8
Algeria,Soviet Union,1982,?,10,?,M-46 130mm,towed gun,10,?,1982,Second hand,Second-hand,0.26,2.6,2.6
Algeria,Soviet Union,1973,?,9000,?,Malyutka,anti-tank missile,9000,?,1973; 1974; 1975; 1976; 1977; 1978; 1979; 1980; 1981; 1982; 1983; 1984; 1985; 1986,New,Incl for BMP-1 IFV and Mi-24 helicopters,0.01,90,90
Algeria,Soviet Union,1963,?,3,?,Mi-1,light helicopter,3,,1965,Second hand,Second-hand,0.12,0.36,0.36
Algeria,Soviet Union,1988,?,41,,Mi-2,light helicopter,41,,1989; 1990,New,From Polish production line; incl for police,1.1,45.1,45.1
Algeria,Soviet Union,1977,?,6,?,Mi-24A,combat helicopter,6,?,1979,Second hand,Second-hand,2.65,15.89,15.89
Algeria,Soviet Union,1977,?,12,?,Mi-24D/Mi-25,combat helicopter,12,?,1980,New,Probably incl some Mi-24A version,8.25,99,99
Algeria,Soviet Union,1980,?,18,?,Mi-24D/Mi-25,combat helicopter,18,?,1981; 1982; 1983,New,,8.25,148.5,148.5
Algeria,Soviet Union,1965,,30,?,Mi-4A,helicopter,30,?,1966; 1967,New,,1.88,56.4,56.4
Algeria,Soviet Union,1962,?,10,?,Mi-4A,helicopter,10,?,1962,New,,1.88,18.8,18.8
Algeria,Soviet Union,1972,?,4,?,Mi-6T,transport helicopter,4,?,1972,New,No. could be 5,18,72,72
Algeria,Soviet Union,1974,?,35,?,Mi-8T,transport helicopter,35,?,1975; 1979; 1980; 1981; 1982; 1983; 1984; 1985,New,,6,210,210
Algeria,Soviet Union,1961,?,15,?,MiG-15bis,fighter aircraft,15,?,1964,Second hand,Second-hand; based in Libya before independence and delivered to Algeria after independence; probably aid,1.36,20.4,20.4
Algeria,Soviet Union,1962,,20,?,MiG-15UTI,trainer aircraft,20,?,1964; 1965,Second hand,Probably second-hand,1.2,24,24
Algeria,Soviet Union,1965,,30,?,MiG-17,fighter aircraft,30,?,1965; 1966,Second hand,Second-hand,1.4,42,42
Algeria,Soviet Union,1961,?,20,?,MiG-17,fighter aircraft,20,?,1963; 1964,Second hand,Second-hand,1.4,28,28
Algeria,Soviet Union,1980,?,15,?,MiG-21bis,fighter aircraft,15,?,1981,New,,12.5,187.5,187.5
Algeria,Soviet Union,1965,?,32,?,MiG-21F-13,fighter aircraft,32,?,1966; 1967,New,,9,288,288
Algeria,Soviet Union,1965,?,6,?,MiG-21F-13,fighter aircraft,6,?,1965,New,,9,54,54
Algeria,Soviet Union,1976,?,86,?,MiG-21MF,fighter aircraft,86,?,1977; 1978,New,Incl some MiG-21UM trainer version,10.7,920.2,920.2
Algeria,Soviet Union,1980,?,50,?,MiG-23BN,FGA aircraft,50,?,1981; 1982; 1983; 1984; 1985,New,Probably incl MiG-23UB trainer version,11.5,575,575
Algeria,Soviet Union,1977,?,45,?,MiG-23MS,fighter aircraft,45,?,1978; 1979; 1980,New,Probably incl MiG-23UM trainer version,13,585,585
Algeria,Soviet Union,1978,?,20,?,MiG-25P,fighter aircraft,20,?,1979,New,Incl some MiG-25U version,30,600,600
Algeria,Soviet Union,1978,,9,?,MiG-25RB,reconnaissance aircraft,9,?,1978; 1979,New,,30,270,270
Algeria,Soviet Union,1963,?,20,?,ML-20 152mm,towed gun,20,?,1964,Second hand,Second-hand,0.2,4,4
Algeria,Soviet Union,1978,?,20,?,Osa,mobile SAM system,20,?,1980; 1981,New,,10,200,200
Algeria,Soviet Union,1978,,2,,P-12,air search radar,2,?,1978; 1979,New,For use with S-75 (SA-2) and S-125 (SA-3) SAM systems,4.5,9,9
Algeria,Soviet Union,1965,,1,,P-12,air search radar,1,?,1966,New,For use with S-75 (SA-2) SAM systems,4.5,4.5,4.5
Algeria,Soviet Union,1982,?,2,?,P-12,air search radar,2,?,1984; 1986,New,For use with 2K12 (SA-6) SAM systems,4.5,9,9
Algeria,Soviet Union,1966,?,50,?,P-15,anti-ship missile,50,?,1967,New,For Project-205 (Osa-1) and Project-183 (Komar) FAC,0.6,30,30
Algeria,Soviet Union,1978,,2,,P-15,air search radar,2,?,1978; 1979,New,For use with S-75 (SA-2) and S-125 (SA-3) SAM systems,4.5,9,9
Algeria,Soviet Union,1965,,1,,P-15,air search radar,1,?,1966,New,For use with S-75 (SA-2) SAM systems,4.5,4.5,4.5
Algeria,Soviet Union,1982,?,2,?,P-15,air search radar,2,?,1984; 1986,New,For use with 2K12 (SA-6) SAM systems,4.5,9,9
Algeria,Soviet Union,1979,?,25,?,P-15M,anti-ship missile,25,?,1980; 1981; 1982,New,For Nanuchka-2 corvettes,0.75,18.75,18.75
Algeria,Soviet Union,1986,?,75,?,P-15M,anti-ship missile,75,?,1986; 1987,New,P-20 (SS-C-3) version for coast defence systems,0.75,56.25,56.25
Algeria,Soviet Union,1975,?,75,?,P-15U,anti-ship missile,75,?,1976; 1977; 1978; 1979; 1980; 1981,New,For Project-205M (Osa-2) FAC,0.7,52.5,52.5
Algeria,Soviet Union,1978,,2,,P-40,air search radar,2,?,1981,New,For use with 9K33 (SA-8) SAM systems,8,16,16
Algeria,Soviet Union,1982,?,2,?,P-40,air search radar,2,?,1984; 1986,New,For use with 2K12 (SA-6) SAM systems,8,16,16
Algeria,Soviet Union,1962,?,120,?,PM-43 120mm,mortar,120,?,1962; 1963; 1964; 1965,Second hand,Probably second-hand,0.1,12,12
Algeria,Soviet Union,1977,?,2,,Project-1159,corvette,2,,1980; 1982,New,Algerian designation Mourad Rais,125,250,250
Algeria,Soviet Union,1982,?,1,,Project-1159,corvette,1,?,1985,New,Algerian designation Mourad Rais,125,125,125
Algeria,Soviet Union,1979,?,3,,Project-1234,corvette,3,,1980; 1981; 1982,New,Algerian designation Hamidou,65,195,195
Algeria,Soviet Union,1963,?,12,,Project-183,FAC,12,?,1963; 1964; 1965; 1966; 1967; 1968,Second hand,Second-hand,4,48,48
Algeria,Soviet Union,1966,?,6,,Project-183R,FAC,6,,1967,Second hand,Second-hand,6,36,36
Algeria,Soviet Union,1975,?,9,,Project-205,FAC,9,,1976; 1977; 1978; 1979; 1981,Second hand,Second-hand; Osa-2 version,17,153,153
Algeria,Soviet Union,1967,?,3,,Project-205,FAC,3,,1967,New,Second-hand (but maximum only few years old); Osa-1 version,42.5,127.5,127.5
Algeria,Soviet Union,1968,?,2,,Project-254,minesweeper,2,,1968,Second hand,Second-hand,8,16,16
Algeria,Soviet Union,1981,?,2,,Project-633,submarine,2,,1982; 1983,Second hand,Second-hand; loan,19.2,38.4,38.4
Algeria,Soviet Union,1976,,1,,Project-771,landing ship,1,,1976,Second hand,Second-hand,8,8,8
Algeria,Soviet Union,1985,?,2,,Project-877E,submarine,2,,1987; 1988,New,Algerian designation Mubarek,220,440,440
Algeria,Soviet Union,1978,,2,,PRV-11,height-finding radar,2,?,1978; 1979,New,For use with S-75 (SA-2) and S-125 (SA-3) SAM systems,4,8,8
Algeria,Soviet Union,1965,,1,,PRV-11,height-finding radar,1,?,1966,New,For use with S-75 (SA-2) SAM systems,4,4,4
Algeria,Soviet Union,1978,,1,,PRV-9,height-finding radar,1,?,1981,New,For use with 9K33 (SA-8) SAM systems,3.5,3.5,3.5
Algeria,Soviet Union,1982,?,2,?,PRV-9,height-finding radar,2,?,1984; 1986,New,For use with 2K12 (SA-6) SAM systems,3.5,7,7
Algeria,Soviet Union,1977,?,200,?,R-23,SRAAM,200,?,1978; 1979; 1980,New,For MiG-23MF combat aircraft,0.12,24,24
Algeria,Soviet Union,1978,?,150,?,R-40,BVRAAM,150,?,1979,New,For MiG-25P combat aircraft,0.15,22.5,22.5
Algeria,Soviet Union,1981,?,5,?,S-125 Pechora,SAM system,5,?,1982,New,,17.5,87.5,87.5
Algeria,Soviet Union,1965,,4,?,S-75 Dvina,SAM system,4,?,1966,New,,17.87,71.48,71.48
Algeria,Soviet Union,1978,,2,?,S-75 Dvina,SAM system,2,?,1978; 1979,New,,17.87,35.74,35.74
Algeria,Soviet Union,1967,?,6,,SO-1,patrol craft,6,?,1967; 1968,Second hand,Second-hand,6,36,36
Algeria,Soviet Union,1965,?,31,?,SON-9,fire control radar,31,?,1966; 1967; 1968,New,For use with S-60 57mm; KS-12 85mm and KS-19 100mm AA guns,0.6,18.6,18.6
Algeria,Soviet Union,1986,?,4,?,Rubezh/SS-C-3,coastal defence system,4,?,1986; 1987,New,,15,60,60
Algeria,Soviet Union,1978,?,600,?,Strela-1,SAM,600,?,1979; 1980,New,,0.06,36,36
Algeria,Soviet Union,1972,?,1000,?,Strela-2,portable SAM,1000,?,1972; 1973; 1974; 1975,New,,0.04,40,40
Algeria,Soviet Union,1963,?,70,?,SU-100,tank destroyer,70,?,1964; 1965; 1966,Second hand,Second-hand; possibly aid,0.4,28,28
Algeria,Soviet Union,1977,?,32,?,Su-20,FGA aircraft,32,?,1977; 1978,New,,12,384,384
Algeria,Soviet Union,1990,?,10,?,Su-24,bomber aircraft,10,?,1991,New,Su-24MK version,35,350,350
Algeria,Soviet Union,1972,?,30,?,Su-7B,FGA aircraft,30,?,1972; 1973,New,Su-7BMK version; possibly second-hand; incl some Su-7U version,6.25,187.5,187.5
Algeria,Soviet Union,1963,?,100,,T-34-85,tank,100,,1964,Second hand,Second-hand,0.38,38,38
Algeria,Soviet Union,1961,?,10,,T-34-85,tank,10,,1961,Second hand,Second-hand; based in Morocco during the Algerian war,0.38,3.8,3.8
Algeria,Soviet Union,1965,?,25,,T-54,tank,25,,1966,Second hand,Second-hand,0.44,11,11
Algeria,Soviet Union,1966,?,100,?,T-54,tank,100,?,1966; 1967,Second hand,Second-hand,0.44,44,44
Algeria,Soviet Union,1963,?,40,?,T-54,tank,40,?,1963,New,Possibly second-hand,1.1,44,44
Algeria,Soviet Union,1965,?,25,,T-55,tank,25,,1966,New,,1.25,31.25,31.25
Algeria,Soviet Union,1966,?,100,?,T-55,tank,100,?,1967,New,,1.25,125,125
Algeria,Soviet Union,1981,?,50,?,T-55,tank,50,?,1982,New,Possibly second-hand or from Czechoslovak production line,1.25,62.5,62.5
Algeria,Soviet Union,1977,?,330,?,T-62,tank,330,?,1977; 1978; 1979,New,Probably from Czechoslovak production line,1.8,594,594
Algeria,Soviet Union,1979,?,100,?,T-72,tank,100,?,1979; 1980; 1981; 1982,New,,2.14,214,214
Algeria,Soviet Union,1990,?,200,?,T-72M1,tank,200,?,1990; 1991,New,,2.6,520,520
Algeria,Soviet Union,1985,?,40,?,TEST-71,anti-ship/ASW torpedo,40,?,1987; 1988,New,For Project-877 (Kilo or Mubarek) submarines,1,40,40
Algeria,Soviet Union,1981,?,175,?,V-601,SAM,175,?,1982,New,,0.12,21,21
Algeria,Soviet Union,1965,,100,?,V-750,SAM,100,?,1966,New,,0.12,12,12
Algeria,Soviet Union,1978,?,50,?,V-750,SAM,50,?,1978; 1979,New,,0.12,6,6
Algeria,Soviet Union,1978,?,210,?,ZSU-23-4 Shilka,self-propelled AA gun,210,?,1979; 1980; 1981; 1982,New,,7,1470,1470
Algeria,Soviet Union,1974,?,45,?,ZSU-57-2,self-propelled AA gun,45,?,1975; 1976,Second hand,Second-hand,0.48,21.6,21.6
Angola,Algeria,1980,,4,,N-262 Fregate,transport aircraft,4,,1980,Second hand,Second-hand; incl for MP,1.5,6,6
Angola,Belarus,2017,?,54,?,2S1 122mm,self-propelled gun,54,,2017; 2018,Second hand,Second-hand,0.36,19.44,19.44
Angola,Belarus,2017,?,12,?,2S3 152mm,self-propelled gun,12,,2017; 2018,Second hand,Second-hand,0.4,4.8,4.8
Angola,Belarus,1999,?,12,,2S7 Pion 203mm,self-propelled gun,12,,1999,Second hand,Second-hand,0.44,5.28,5.28
Angola,Belarus,2014,?,22,?,2S7 Pion 203mm,self-propelled gun,22,,2015,Second hand,Second-hand,0.44,9.68,9.68
Angola,Belarus,1999,?,24,,BM-21 Grad 122mm,self-propelled MRL,24,,1999,Second hand,Second-hand,0.24,5.76,5.76
Angola,Belarus,2017,?,12,?,BM-21 Grad 122mm,self-propelled MRL,12,,2017; 2018,Second hand,Second-hand,0.24,2.88,2.88
Angola,Belarus,2017,,4,,BM-22/9P140 Uragan,self-propelled MRL,4,,2018,Second hand,Second-hand,0.44,1.76,1.76
Angola,Belarus,1993,?,21,,BMP-1,IFV,21,,1993,Second hand,Second-hand; sold via Bulgarian company,0.36,7.56,7.56
Angola,Belarus,1999,?,62,,BMP-2,IFV,62,,1999,Second hand,Second-hand,0.36,22.32,22.32
Angola,Belarus,2015,?,18,,D-20 152mm,towed gun,18,,2016,Second hand,Second-hand,0.2,3.6,3.6
Angola,Belarus,1999,?,12,,D-30 122mm,towed gun,12,,1999,Second hand,Second-hand,0.14,1.68,1.68
Angola,Belarus,2020,?,3,?,Il-76M,heavy transport aircraft,1,?,2022,Second hand,Second-hand; Il-76TD version,34,102,34
Angola,Belarus,2021,?,5,?,Kaiman,APV,5,?,2022,New,,0.16,0.8,0.8
Angola,Belarus,1999,?,7,?,MiG-23ML,fighter aircraft,7,?,1999,Second hand,Second-hand; MiG-23MLD and MiG-23UB versions,6.4,44.8,44.8
Angola,Belarus,1999,?,7,?,Su-22,FGA aircraft,7,?,1999,Second hand,Second-hand; incl some Su-22U version,5.2,36.4,36.4
Angola,Belarus,1997,,1,?,Su-24,bomber aircraft,1,?,2000,Second hand,Second-hand; Su-24M version,14,14,14
Angola,Belarus,1999,?,2,?,Su-27S,FGA aircraft,2,?,2000,Second hand,Probably second-hand; supplier could be Ukraine,17,34,34
Angola,Belarus,1999,?,62,,T-55AM-2,tank,62,,1999,Second hand,Second-hand,0.6,37.2,37.2
Angola,Belarus,1999,?,22,,T-72M1,tank,22,,1999,Second hand,Second-hand,1.04,22.88,22.88
Angola,Brazil,1986,,2,,EMB-111,maritime patrol aircraft,2,?,1988,New,,5.5,11,11
Angola,Brazil,2006,?,1,?,EMB-120 Brasilia,transport aircraft,1,?,2007,New,EMB-120ER version; for VIP transport,6.25,6.25,6.25
Angola,Brazil,1998,,8,,EMB-312 Tucano,trainer aircraft,8,?,1998,New,,1.9,15.2,15.2
Angola,Brazil,2011,,6,,EMB-314 Super Tucano,trainer/combat aircraft,6,?,2013,New,,4.5,27,27
Angola,Bulgaria,2018,?,9,?,2S1 122mm,self-propelled gun,9,,2019,Second hand,Second-hand,0.36,3.24,3.24
Angola,Bulgaria,1999,?,4,,2S3 152mm,self-propelled gun,4,,1999,Second hand,Second-hand; probably sold via Slovakia,0.4,1.6,1.6
Angola,Bulgaria,2017,?,20,?,BM-21 Grad 122mm,self-propelled MRL,20,,2017; 2019,Second hand,Second-hand,0.24,4.8,4.8
Angola,Bulgaria,1993,,29,,BMP-1,IFV,29,,1993,Second hand,Second-hand; 21 more ex-Belarussian delivered via Bulgarian company,0.36,10.44,10.44
Angola,Bulgaria,2017,?,5,?,BTS,ARV,5,,2017; 2019,Second hand,Second-hand,0.4,2,2
Angola,Bulgaria,1999,?,4,,D-20 152mm,towed gun,4,,1999,Second hand,Second-hand; probably sold via Slovakia,0.2,0.8,0.8
Angola,Bulgaria,2014,?,18,?,D-20 152mm,towed gun,18,,2015,Second hand,Second-hand,0.2,3.6,3.6
Angola,Bulgaria,2015,?,27,?,D-30 122mm,towed gun,27,,2015; 2017,Second hand,Second-hand; possibly from Slovakia sold via Bulgaria; designation uncertain (reported as '122mm howitzer'),0.14,3.78,3.78
Angola,Bulgaria,1999,?,24,,M-46 130mm,towed gun,24,,1999,Second hand,Second-hand,0.26,6.24,6.24
Angola,Bulgaria,2014,?,31,?,MT-LB,APC,31,,2014; 2015,New,Possibly second-hand,0.25,7.75,7.75
Angola,Bulgaria,1999,?,31,,T-55,tank,31,,1999,Second hand,Second-hand,0.5,15.5,15.5
Angola,Bulgaria,1993,?,24,,T-62,tank,24,,1993,Second hand,Second-hand,0.72,17.28,17.28
Angola,Canada,2011,,6,?,aircraft engine,aircraft engine,6,?,2013,New,Pratt & Whitney Canada PT-6A-68 (1250hp) turboprop; for 6 EMB-314 trainer/combat aircraft from Brazil,0.5,3,3
Angola,Canada,2022,,6,,aircraft engine,aircraft engine,0,,,New,Pratt & Whitney Canada PW-127G (2650hp) turboprop for 2 C-295 MP aircraft and 1 C-295 transport aircraft from Spain,0.75,4.5,0
Angola,Canada,2018,,4,,aircraft engine,aircraft engine,4,,2019,New,Pratt & Whitney Canada PW-127J (2750hp) turboprop for 2 MA60 transport aircraft from China,0.75,3,3
Angola,Canada,1986,,4,,aircraft engine,aircraft engine,4,,1987,New,Pratt & Whitney Canada PT-6A-62 (950hp) turboprop; for 4 PC-9 trainer aircraft from Switzerland,0.35,1.4,1.4
Angola,Canada,1986,?,8,?,aircraft engine,aircraft engine,8,?,1990,New,Pratt & Whitney Canada PT-6A-25A (750hp) turboprop; for 8 PC-7 trainer aircraft from Switzerland,0.35,2.8,2.8
Angola,Canada,1981,,12,,aircraft engine,aircraft engine,12,,1982,New,Pratt & Whitney Canada PT-6A-25A (750hp) turboprop; for 12 PC-7 trainer aircraft from Switzerland,0.35,4.2,4.2
Angola,Canada,1998,,6,,aircraft engine,aircraft engine,6,?,1998,New,Pratt & Whitney Canada PT-6A-25C (750hp) turboprop; for 6 EMB-312 trainer aircraft from Brazil,0.35,2.1,2.1
Angola,Canada,1980,,1,,APS-504(V),MP aircraft radar,1,,1980,New,For 1 F-27 Maritime MP aircraft from the Netherlands,2.5,2.5,2.5
Angola,China,2015,?,10,?,Assaulter,AFSV,10,?,2016,New,,1.3,13,13
Angola,China,2018,,12,,K-8,trainer/combat aircraft,12,?,2020,New,K-8W version,3.5,42,42
Angola,China,2018,,2,,MA60,transport aircraft,2,,2019,New,,8,16,16
Angola,China,2013,,45,?,vehicle engine,vehicle engine,45,?,2015,New,Diesel engine; for 45 Casspir-2000 APC from South Africa,0.05,2.25,2.25
Angola,China,2015,?,5,?,WZ-551,APC,5,?,2016,New,,0.35,1.75,1.75
Angola,Cuba,1975,,1,?,MiG-15UTI,trainer aircraft,1,?,1975,Second hand,Second-hand; aid,1.2,1.2,1.2
Angola,Czechoslovakia,1975,?,50,?,OT-62A TOPAS,APC,50,?,1976,Second hand,Probably second-hand,0.11,5.4,5.4
Angola,Czechoslovakia,1985,?,4,?,Z-142/Z-242L,trainer aircraft,4,?,1986,New,Zlin-142C version,0.1,0.4,0.4
Angola,Czechia,2000,?,12,?,2S1 122mm,self-propelled gun,12,?,2000,Second hand,Second-hand; probably sold via Slovakia,0.36,4.32,4.32
Angola,Czechia,2006,?,2,,Mi-17,transport helicopter,2,,2007,Second hand,Second-hand; Mi-17 version,2.9,5.8,5.8
Angola,Czechia,1999,?,18,?,RM-70 122mm,self-propelled MRL,18,,1999; 2000,Second hand,Second-hand; sold via and probably modernized in Slovakia,0.36,6.48,6.48
Angola,France,1985,,6,,AS365/AS565 Panther,helicopter,6,,1986,New,AS-365M armed version; part of $47 m deal,3.25,19.5,19.5
Angola,France,1987,?,6,?,AS365/AS565 Panther,helicopter,6,?,1988; 1989,New,No. could be 10,3.25,19.5,19.5
Angola,France,2023,,3,,BR-71 Mk-2,corvette,0,,,New,EUR1 b deal; incl 2 from UAE production line,0,0,0
Angola,France,1999,?,3,?,Cessna-172,trainer/light aircraft,3,?,2000,New,,0.1,0.3,0.3
Angola,France,1985,,180,?,HOT,anti-tank missile,180,?,1986; 1987,New,For 6 SA-342K and possibly 6 SA-365N helicopters,0.02,3.6,3.6
Angola,France,2016,,3,?,HSI-32,patrol craft,3,?,2019,New,Part of EUR495 m deal,5,15,15
Angola,France,2021,?,2,,LCT-200-70,landing ship,1,,2023,New,Angolan designation 4 de Abril; delivery planned 2023-2024,15,30,15
Angola,France,2022,?,3,,Ocean Eagle-43,patrol craft,1,,2022,New,,11,33,11
Angola,France,1979,?,6,,SA-316B Alouette-3,light helicopter,6,,1980,New,,0.9,5.4,5.4
Angola,France,1985,,6,?,SA-342 Gazelle,light helicopter,6,?,1986; 1987,New,Part of $47 m deal (incl 6 SA-365N helicopters); no. could be 7,0.85,5.1,5.1
Angola,Hungary,1993,?,7,,BMP-2,IFV,7,,1993,Second hand,Second-hand; sold via Czech Republic,0.36,2.52,2.52
Angola,Hungary,2001,?,1,,Il-76M,heavy transport aircraft,1,,2002,Second hand,Second-hand,34,34,34
Angola,Israel,2004,?,8,?,Bell-212/UH-1N,helicopter,8,?,2004; 2005,Second hand,Second-hand,1.48,11.84,11.84
Angola,Israel,2015,,4,,Super Dvora,patrol craft,4,?,2016,New,Super Dvora Mk-3 version,5.25,21,21
Angola,Italy,2015,,2,?,A-109K,light helicopter,2,,2017,New,AW109E version,2.75,5.5,5.5
Angola,Italy,2015,,4,?,AW139,helicopter,4,?,2017; 2018,New,Inc for SAR,6,24,24
Angola,Kazakhstan,1998,?,4,?,BM-21 Grad 122mm,self-propelled MRL,4,,1998,Second hand,Second-hand,0.24,0.96,0.96
Angola,Kazakhstan,1998,?,28,?,D-30 122mm,towed gun,28,,1998; 1999,Second hand,Second-hand,0.14,3.92,3.92
Angola,Kazakhstan,1998,?,24,,M-46 130mm,towed gun,24,,1999,Second hand,Ex-Kazakh,0.26,6.24,6.24
Angola,Lithuania,2015,?,2,?,S-125-ML,SAM system,2,?,2018,New,Angolan S-125 rebuilt to S-125-ML,30,60,60
Angola,Moldova,2000,?,10,?,An-12,transport aircraft,10,?,2001; 2002; 2005; 2007; 2008,Second hand,Second-hand,9.2,92,92
