Qatar,France,1982,,600,?,HOT,anti-tank missile,600,?,1982; 1983,New,Part of $20 m deal; probably for VAB-VCAC tank destroyers,0.02,12,12
Qatar,France,1981,,225,?,HOT,anti-tank missile,225,?,1983; 1984,New,For SA-342  helicopters,0.02,4.5,4.5
Qatar,France,1994,,2,?,M53,turbofan,2,?,1997; 1998,New,Spare engines for Mirage-2000-5 combat aircraft,1.75,3.5,3.5
Qatar,France,2015,,52,,M-88,turbofan,52,?,2019; 2020,New,Spares for Rafale combat aircraft,2.5,130,130
Qatar,France,2005,?,2,?,Master,air search radar,2,?,2007,New,Master-M and Master-T versions,13.5,27,27
Qatar,France,1994,,100,?,MICA,BVRAAM,100,?,1997; 1998; 1999,New,Part of $280 m deal; MICA-EM version; for Mirage 2000-5 combat aircraft,0.4,40,40
Qatar,France,2015,,300,,MICA,BVRAAM,300,?,2019; 2020,New,Incl 150 MICA-ER and 150 MICA-EM version; for Rafale combat aircraft,0.4,120,120
Qatar,France,2016,?,30,?,MICA,BVRAAM,30,?,2022,New,For Fincantieri-700 corvettes from Italy,0.4,12,12
Qatar,France,1982,,600,?,MILAN,anti-tank missile,600,?,1983; 1984,New,Part of $20 m deal,0.01,6,6
Qatar,France,2012,,500,?,MILAN,anti-tank missile,500,?,2015,New,MILAN-ER version,0.01,5,5
Qatar,France,1987,,1,,Mirage F-1C,FGA aircraft,1,,1992,New,,16,16,16
Qatar,France,1980,,14,,Mirage F-1E,FGA aircraft,14,?,1983; 1984,New,Mirage F-1EDA version; incl 2 Mirage F-1DDA,20,280,280
Qatar,France,1994,,12,,Mirage-2000-5,FGA aircraft,12,,1997; 1998; 1999,New,$1.2-1.6 b deal; Mirage-2000-5EDA version; incl 3 Mirage-2000DDA trainer/combat version,31,372,372
Qatar,France,1990,,500,?,Mistral,portable SAM,500,?,1992; 1993; 1994; 1995; 1996,New,Incl for Vita FAC; deal incl also MANPADS and SADRAL launchers,0.09,45,45
Qatar,France,2009,?,35,?,Mistral,portable SAM,35,?,2010; 2012; 2013,New,,0.09,3.15,3.15
Qatar,France,1992,?,4,,MRR-3D,air search radar,4,,1996; 1997,New,For 4 Vita (Barzan) FAC from UK,10,40,40
Qatar,France,2018,,16,,NH-90 TTH,transport helicopter,6,?,2021; 2022; 2023,New,Part of EUR3 b deal; delivery planned 2021-2025,7,112,42
Qatar,France,1987,?,90,?,R-550 Magic-2,SRAAM,90,?,1988; 1989,New,For Mirage F-1 combat aircraft,0.11,9.9,9.9
Qatar,France,1994,,96,,R-550 Magic-2,SRAAM,96,?,1997; 1998; 1999,New,Part of $280 m deal; for Mirage 2000-5 combat aircraft,0.11,10.56,10.56
Qatar,France,2015,,24,,Rafale,FGA aircraft,24,?,2019; 2020,New,Part of EUR6.7 b deal; incl 18 Rafale-EQ (Q3-R) and 6 Rafale-DQ versions,55,1320,1320
Qatar,France,2017,,12,,Rafale,FGA aircraft,12,,2021; 2022,New,Rafale-EQ version (incl 3 Rafale-DQ trainer/combat version),55,660,660
Qatar,France,1986,,200,?,Roland,SAM,200,?,1987; 1988,New,,0.12,24,24
Qatar,France,1986,,3,,Roland,mobile SAM system,3,?,1987,New,,10,30,30
Qatar,France,1986,,6,,Roland,mobile SAM system,6,?,1987; 1988,New,,10,60,60
Qatar,France,1981,,12,,SA-342 Gazelle,light helicopter,12,?,1983; 1984,New,,0.85,10.2,10.2
Qatar,France,2011,,10,?,Sherpa,APC/APV,10,?,2012; 2013,New,For internal security force,0.25,2.5,2.5
Qatar,France,2015,,140,,Storm Shadow/SCALP-EG,ASM,140,?,2019; 2020,New,SCALP version; for Rafale combat aircraft,0.64,89.6,89.6
Qatar,France,1980,?,50,?,Super-530F,BVRAAM,50,?,1983; 1984,New,For Mirage F-1 combat aircraft,0.15,7.5,7.5
Qatar,France,1986,?,6,,TRS-2100 Tiger-S,air search radar,6,?,1987; 1988; 1989; 1990; 1991,New,,4.75,28.5,28.5
Qatar,France,1979,?,24,,VAB-VCAC,tank destroyer,24,?,1980; 1981; 1982,New,,0.9,21.6,21.6
Qatar,France,1979,?,138,,VAB-VTT,APC,138,?,1980; 1981; 1982,New,Incl command post and VAB-VPM-81 mortar carrier version; 6-wheeled version,0.3,41.4,41.4
Qatar,France,1992,?,16,,VBL,APV,16,?,1993; 1994; 1995,New,,0.12,1.92,1.92
Qatar,France,2016,?,2,,VL-MICA-M,naval SAM system,2,,2022,New,For 2 Fincantieri-700 corvettes from Italy,5,10,10
Qatar,Germany,2016,,2,?,COBRA,artillery locating radar,2,?,2020,New,,10,20,20
Qatar,Germany,2014,?,13,,Dingo-2,APC,13,?,2017,New,Reconnaissance/command post version,0.35,4.55,4.55
Qatar,Germany,2014,?,32,?,Fennek,reconnaissance AV,32,?,2017; 2018; 2019; 2020,New,Part of EUR159 m deal,0.3,9.6,9.6
Qatar,Germany,2020,,15,,Gepard,self-propelled AA gun,15,?,2021; 2022,Second hand,,3.6,54,54
Qatar,Germany,2013,,62,,Leopard-2A7,tank,62,,2015; 2016; 2017; 2018,New,Part of EUR1.9 b deal; Leopard-2A7+ version,5.2,322.4,322.4
Qatar,Germany,2013,,24,,PzH-2000 155mm,self-propelled gun,24,,2015; 2016,New,Part of EUR1.9 b deal,4.5,108,108
Qatar,Germany,1992,?,16,,ship engine,ship engine,16,,1996; 1997,New,MTU-20V-538 TB93 (4685hp) diesel engine; for 4 Vita (Barzan) FAC from UK,1.5,24,24
Qatar,Germany,2013,,6,,Wisent-2,AEV/ARV,6,?,2016; 2017,New,,2.5,15,15
Qatar,Italy,2016,?,86,?,ASTER-30,SAM,86,?,2021; 2022; 2023,New,ASTER-30 Block-1 version; for Fincantieri-3000 frigates,1,86,86
Qatar,Italy,2008,,18,,AW139,helicopter,18,?,2009; 2010; 2011; 2012; 2013,New,EUR260 m deal,6,108,108
Qatar,Italy,2019,?,4,?,AW169,helicopter,4,?,2020,New,For training,4,16,16
Qatar,Italy,2016,,1,,BDSL,AALS,0,,,New,Part of EUR4 b deal; delivery planned 2024,147,147,0
Qatar,Italy,1992,?,4,,Compact 76mm,naval gun,4,,1996; 1997,New,For 4 Vita (Barzan) FAC from UK,2.5,10,10
Qatar,Italy,2016,,4,,Fincantieri-3000,frigate,4,,2021; 2022; 2023,New,Part of EUR4 b deal; Qatari designation Al Zubarah,300,1200,1200
Qatar,Italy,2016,,2,,Fincantieri-700,corvette,2,,2022,New,Part of EUR4 b deal; Qatari designation Musherib,95,190,190
Qatar,Italy,2015,,4,?,Kronos,multi-function radar,4,?,2017; 2018,New,QAR1.7 b ($467 m) deal; Kronos Land version,10,40,40
