Recipient,Supplier,Year of order, ,Number ordered, ,Weapon designation,Weapon description,Number delivered, ,Year(s) of delivery,status,Comments,SIPRI TIV per unit,SIPRI TIV for total order,SIPRI TIV of delivered weapons
Indonesia,Australia,1972,?,2,,Attack,patrol craft,2,,1973; 1974,Second hand,Second-hand; aid; Indonesian designation Sibarau,2.4,4.8,4.8
Indonesia,Australia,1984,?,3,,Attack,patrol craft,3,,1985; 1986,Second hand but modernized,Second-hand but modernized before delivery; Indonesian designation Sibarau,3.96,11.88,11.88
Indonesia,Australia,1977,,12,,Bell-47/OH-13,light helicopter,12,,1978,Second hand,Second-hand; aid worth $1.1 m; Bell-47G-3B-1 version,0.1,1.15,1.15
Indonesia,Australia,2023,,15,,Bushmaster,APC,15,,2023,Second hand,Second-hand; aid for Indonesian UN peacekeeping forces,0.14,2.1,2.1
Indonesia,Australia,2013,,3,,Bushmaster,APC,3,,2014,New,AUD2.7 m deal,0.32,0.96,0.96
Indonesia,Australia,2013,,4,,C-130H Hercules,transport aircraft,4,?,2013; 2014; 2015,Second hand but modernized,Second-hand but modernized for AUD63 m before delivery; aid,18.48,73.92,73.92
Indonesia,Australia,2015,?,5,,C-130H Hercules,transport aircraft,5,?,2016; 2017,Second hand,Second-hand,11.2,56,56
Indonesia,Australia,1973,,2,,C-47 Skytrain,transport aircraft,2,,1973,Second hand,Second-hand; aid,1,2,2
Indonesia,Australia,1968,?,5,,Cessna-207,light transport aircraft,5,,1970,Second hand,Second-hand; $0.33 m deal,0.1,0.48,0.48
Indonesia,Australia,1967,?,2,?,Cessna-310,light transport aircraft,2,,1969,Second hand,Second-hand,0.14,0.28,0.28
Indonesia,Australia,1967,?,5,,Cessna-411,light transport aircraft,5,,1969,Second hand,Second-hand; Cessna-411 version,0.38,1.9,1.9
Indonesia,Australia,1968,?,2,,Cessna-411,light transport aircraft,2,,1969,Second hand,Second-hand; Cessna-402 version,0.38,0.76,0.76
Indonesia,Australia,1972,,16,?,F-86 Sabre,fighter aircraft,16,?,1973,Second hand,Second-hand; $12 m aid; CAC-27/Sabre Mk-32 version,1.4,22.4,22.4
Indonesia,Australia,1973,,6,,Nomad,light transport aircraft,6,,1975; 1976,New,Aid; Searchmaster-B version,1.5,9,9
Indonesia,Australia,1996,,16,?,Nomad,light transport aircraft,16,?,1997,Second hand,Second-hand; AUD2 m deal; incl N-22B and N-24A version,0.6,9.6,9.6
Indonesia,Australia,1996,,3,?,Nomad,light transport aircraft,3,?,1997,New,,1.5,4.5,4.5
Indonesia,Australia,1977,,6,,Nomad Searchmaster-B,maritime patrol aircraft,6,,1978; 1979,New,Aid,2,12,12
Indonesia,Australia,2001,,4,?,Nomad Searchmaster-L,maritime patrol aircraft,4,,2003,Second hand,Second-hand; incl 2 N-24 version,2,8,8
