Ukraine,Luxembourg,2022,,100,,NLAW,anti-tank missile,100,,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0,0.4,0.4
United States,Latvia,2022,,5,?,Penguin,UAV,0,,,New,Pneguin-B or Penguin-C version,0.05,0.25,0
GUNT (Chad)*,Libya,1986,?,5,?,EE-9 Cascavel,armoured car,5,?,1986,New,Second-hand; aid,0.75,3.75,3.75
GUNT (Chad)*,Libya,1981,,1,,F-27 Friendship,transport aircraft,1,,1985,Second hand,Second-hand; aid; F-27 Mk-600 version,3.4,3.4,3.4
GUNT (Chad)*,Libya,1985,?,4,?,SF-260,trainer aircraft,4,?,1985,Second hand,Second-hand; aid; SF-260W armed version,0.1,0.38,0.38
MNLF (Philippines)*,Libya,1971,?,10,?,Strela-2,portable SAM,10,?,1972,Second hand,Second-hand; aid,0.02,0.16,0.16
Darfur rebels (Sudan)*,Libya HoR*,2016,?,5,?,Cougar,APV,5,?,2016,Second hand,Second-hand; aid,0.06,0.28,0.28
Darfur rebels (Sudan)*,Libya HoR*,2018,?,5,?,Puma,APC,5,?,2018,Second hand,,0.06,0.28,0.28
Darfur rebels (Sudan)*,Libya HoR*,2016,?,5,?,Spartan,APC/APV,5,?,2016,Second hand,Second-hand; aid,0.06,0.32,0.32
Provisional IRA (UK)*,Libya,1987,,20,,Strela-2,portable SAM,20,,1987,New,Second-hand; intercepted by France while being delivered to PIRA operating from Ireland,0.04,0.8,0.8
Provisional IRA (UK)*,Libya,1986,,10,?,Strela-2,portable SAM,10,?,1986,New,Second-hand; delivered to PIRA operating from Ireland,0.04,0.4,0.4
Yugoslavia,Lebanon,1991,,3,,SA-342 Gazelle,light helicopter,3,,1991,Second hand,Second-hand; SA-342L version; for police special forces,0.34,1.02,1.02
Zimbabwe,Libya,2000,,3,?,MiG-23MS,fighter aircraft,3,?,2003,Second hand,Second-hand; status uncertain (probably acquired only for show),5.2,15.6,15.6
