Recipient,Supplier,Year of order, ,Number ordered,0.1,Weapon designation,Weapon description,Number delivered,0.2,Year(s) of delivery,status,Comments,SIPRI TIV per unit,SIPRI TIV for total order,SIPRI TIV of delivered weapons
AZE,Belarus,2009,?,30,?,D-30 122mm,towed gun,30,,2010,Second hand,Second-hand,0.14,4.2,4.2
AZE,Belarus,2017,?,6,?,Polonez,self-propelled MRL,6,,2018,New,,1.2,7.2,7.2
AZE,Belarus,2009,?,11,?,Su-25,ground attack aircraft,11,,2009; 2010; 2011; 2012,Second hand,Second-hand,4.6,50.6,50.6
AZE,Belarus,2004,?,60,?,T-72M1,tank,60,,2005; 2006,Second hand,Second-hand,1.04,62.4,62.4
AZE,Belarus,2010,?,93,?,T-72M1,tank,93,?,2011; 2012,Second hand,Second-hand,1.04,96.72,96.72
AZE,Bulgaria,2002,?,36,?,M-46 130mm,towed gun,36,,2002,Second hand,Second-hand,0.26,9.36,9.36
AZE,Czechia,2016,?,30,?,RM-70 122mm,self-propelled MRL,30,?,2017; 2018,Second hand,Second-hand; refurbished before delivery; delivery via Slovakia and Israel,0.36,10.8,10.8
AZE,Georgia,1996,?,6,?,Su-25,ground attack aircraft,6,?,2002,New,,11.5,69,69
AZE,Israel,2007,,4,,Aerostar,UAV,4,,2008,New,,0.1,0.4,0.4
AZE,Israel,2010,,10,?,Aerostar,UAV,10,?,2011; 2012,New,Incl production of components in Azerbaijan,0.1,1,1
AZE,Israel,2008,,5,?,ATMOS-2000 155mm,self-propelled gun,5,?,2010,New,,1.25,6.25,6.25
AZE,Israel,2011,?,40,?,Barak-ER,SAM,40,?,2016,New,For Barak-MX SAM system,1,40,40
AZE,Israel,2011,?,40,?,Barak-LRAD,SAM,40,?,2016,New,For Barak-MX SAM system,0.9,36,36
AZE,Israel,2011,?,1,?,Barak-MX,SAM system,1,?,2016,New,Part of $1.6 b deal,47,47,47
AZE,Israel,2008,,10,?,CARDOM 120mm,self-propelled mortar,10,?,2010; 2011,New,,0.35,3.5,3.5
AZE,Israel,2005,?,50,?,EXTRA,guided rocket/SSM,50,?,2008; 2009,New,For Lynx MRL,0.15,7.5,7.5
AZE,Israel,2014,?,100,?,Harop,loitering munition,100,?,2015; 2016; 2017; 2018,New,,0.6,60,60
AZE,Israel,2008,,10,?,Hermes-450,UAV,10,?,2011; 2012; 2013,New,,2,20,20
AZE,Israel,2017,?,2,?,Hermes-900,UAV,2,?,2017; 2018,New,,3,6,6
AZE,Israel,2011,?,5,?,Heron,UAV,5,?,2013,New,Part of $1.6 b deal,3,15,15
AZE,Israel,2013,,100,?,LAHAT,anti-tank missile,100,?,2015; 2016,New,,0.04,4,4
AZE,Israel,2017,?,50,?,LORA,SSM,50,?,2018,New,,1.7,85,85
AZE,Israel,2017,?,4,?,LORA,self-propelled MRL,4,?,2018,New,,0.9,3.6,3.6
AZE,Israel,2005,?,6,?,Lynx,self-propelled MRL,6,?,2006,New,Azerbaijani designation Dolu-1; Leysan and Shimsek,1.1,6.6,6.6
AZE,Israel,2014,,2,?,EL/M-2288 AD-STAR,air search radar,2,?,2016,New,,13,26,26
AZE,Israel,2023,,2,,OptSat-500,recce satellite,0,,,New,,0,0,0
AZE,Israel,2013,,6,,OPV-62,FAC,6,?,2015; 2016; 2017; 2018,New,,57.5,345,345
AZE,Israel,2016,,100,?,Orbiter-1K,loitering munition,100,?,2016; 2017; 2018; 2019; 2020,New,Incl assembly/production in Azerbaijan as Zerba,0.15,15,15
AZE,Israel,2016,,10,?,Orbiter-3,UAV,10,?,2016; 2017,New,Orbiter-3 version,0.05,0.5,0.5
AZE,Israel,2015,,100,?,SandCat,APV,100,?,2016; 2017; 2018,New,,0.14,14,14
AZE,Israel,2017,?,10,?,SandCat SPEAR 120mm,self-propelled mortar,10,?,2018,New,,0.5,5,5
AZE,Israel,2015,,10,?,SandCat Spike-LR,SSM launcher,10,?,2016,New,,0.16,1.6,1.6
AZE,Israel,2011,?,5,?,Searcher,UAV,5,?,2013,New,Part of $1.6 b deal,0.3,1.5,1.5
AZE,Israel,2013,?,6,,Shaldag,FAC,6,?,2014; 2015,New,Assembled or produced in Azerbaijan,7,42,42
AZE,Israel,2016,?,250,?,SkyStriker,loitering munition,250,?,2018; 2019; 2020,New,,0.15,37.5,37.5
AZE,Israel,2008,,100,?,Spike-MR/LR,anti-tank missile,100,?,2009; 2010,New,Spike-LR version,0.03,3,3
AZE,Israel,2015,?,250,?,Spike-MR/LR,anti-tank missile,250,?,2016,New,Spike-LR version for SandCar tank destroyers,0.03,7.5,7.5
