Recipient,Designation,Description,Armament category,Order date,Order date is estimate,Numbers delivered,Numbers delivered is estimate,Delivery year,Delivery year is estimate,Status,SIPRI estimate,TIV deal unit,TIV delivery values,Local production
Canada,TPS-77,air search radar,Sensors,1984,Yes,2,Yes,1987,Yes,New,11,11,22,No
Canada,UH-1H,helicopter,Aircraft,1967,Yes,10,No,1969,No,New,2.62,2.62,26.2,No
Canada,vehicle engine 201-300,vehicle engine,Engines,1989,No,25,Yes,1989,No,New,0.03,0.03,0.75,No
Canada,vehicle engine 201-300,vehicle engine,Engines,1989,No,50,Yes,1990,No,New,0.03,0.03,1.5,No
Canada,vehicle engine 201-300,vehicle engine,Engines,1989,No,50,Yes,1991,No,New,0.03,0.03,1.5,No
Canada,vehicle engine 201-300,vehicle engine,Engines,1989,No,50,Yes,1992,No,New,0.03,0.03,1.5,No
Canada,vehicle engine 201-300,vehicle engine,Engines,1989,No,24,Yes,1993,No,New,0.03,0.03,0.72,No
Canada,vehicle engine 201-300,vehicle engine,Engines,1977,No,130,Yes,1979,No,New,0.03,0.03,3.9,No
Canada,vehicle engine 201-300,vehicle engine,Engines,1977,No,130,Yes,1980,No,New,0.03,0.03,3.9,No
Canada,vehicle engine 201-300,vehicle engine,Engines,1977,No,130,Yes,1981,No,New,0.03,0.03,3.9,No
Canada,vehicle engine 201-300,vehicle engine,Engines,1977,No,101,Yes,1982,No,New,0.03,0.03,3.03,No
Canada,vehicle engine 201-300,vehicle engine,Engines,1993,No,47,No,1998,No,New,0.03,0.03,1.41,No
Canada,vehicle engine 201-300,vehicle engine,Engines,1993,No,78,Yes,1996,No,New,0.03,0.03,2.34,No
Canada,vehicle engine 201-300,vehicle engine,Engines,1993,No,78,Yes,1997,No,New,0.03,0.03,2.34,No
Canada,vehicle engine 301-400,vehicle engine,Engines,1997,No,20,Yes,1998,Yes,New,0.05,0.05,1,No
Canada,vehicle engine 301-400,vehicle engine,Engines,1997,No,120,Yes,2001,Yes,New,0.05,0.05,6,No
Canada,vehicle engine 301-400,vehicle engine,Engines,1997,No,160,Yes,1999,No,New,0.05,0.05,8,No
Canada,vehicle engine 301-400,vehicle engine,Engines,1997,No,180,Yes,2000,No,New,0.05,0.05,9,No
Canada,vehicle engine 301-400,vehicle engine,Engines,1997,No,80,Yes,2002,No,New,0.05,0.05,4,No
Canada,vehicle engine 301-400,vehicle engine,Engines,1997,No,80,Yes,2003,No,New,0.05,0.05,4,No
Canada,vehicle engine 301-400,vehicle engine,Engines,1997,No,11,Yes,2004,No,New,0.05,0.05,0.55,No
Canada,vehicle engine 401-600,vehicle engine,Engines,2011,No,100,Yes,2013,No,New,0.08,0.08,8,No
Canada,vehicle engine 401-600,vehicle engine,Engines,2011,No,103,Yes,2014,No,New,0.08,0.08,8.24,No
Canada,vehicle engine 401-600,vehicle engine,Engines,2011,No,103,Yes,2015,No,New,0.08,0.08,8.24,No
Canada,vehicle engine 401-600,vehicle engine,Engines,2011,No,103,Yes,2016,No,New,0.08,0.08,8.24,No
Canada,vehicle engine 401-600,vehicle engine,Engines,2011,No,61,Yes,2017,No,New,0.08,0.08,4.88,No
Canada,vehicle engine 401-600,vehicle engine,Engines,2011,No,67,Yes,2018,No,New,0.08,0.08,5.36,No
Canada,vehicle engine 401-600,vehicle engine,Engines,2011,No,13,Yes,2019,No,New,0.08,0.08,1.04,No
Canada,vehicle engine 401-600,vehicle engine,Engines,2017,No,120,Yes,2018,No,New,0.08,0.08,9.6,No
Canada,vehicle engine 401-600,vehicle engine,Engines,2017,No,21,Yes,2019,No,New,0.08,0.08,1.68,No
